Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2010-02-05,17294.03378099962,False
1,1,2010-02-12,18555.523320766573,False
1,1,2010-02-19,19990.66735192569,False
1,1,2010-02-26,20671.521850462355,False
1,1,2010-03-05,21953.164538556266,False
1,1,2010-03-12,25893.349215570597,False
1,1,2010-03-19,23919.45635038585,False
1,1,2010-03-26,22392.54420583653,False
1,1,2010-04-02,22267.689075246897,False
1,1,2010-04-09,26101.699683508126,False
1,1,2010-04-16,25139.2494924133,False
1,1,2010-04-23,27944.322417455438,False
1,1,2010-04-30,31205.396071485702,False
1,1,2010-05-07,28435.8311718649,False
1,1,2010-05-14,28852.11074841549,False
1,1,2010-05-21,28631.22795053343,False
1,1,2010-05-28,29050.113206187816,False
1,1,2010-06-04,28158.205309414665,False
1,1,2010-06-11,27702.95709395752,False
1,1,2010-06-18,32458.647992041577,False
1,1,2010-06-25,29771.159622418778,False
1,1,2010-07-02,34527.77710228349,False
1,1,2010-07-09,31779.96016841156,False
1,1,2010-07-16,34921.171659216496,False
1,1,2010-07-23,32488.053820324814,False
1,1,2010-07-30,31630.190320084388,False
1,1,2010-08-06,34740.52759504997,False
1,1,2010-08-13,31797.384901212423,False
1,1,2010-08-20,29264.746972445388,False
1,1,2010-08-27,32197.876289603686,False
1,1,2010-09-03,25940.73334315411,False
1,1,2010-09-10,29368.458904311883,False
1,1,2010-09-17,31628.841558030294,False
1,1,2010-09-24,29757.52096399136,False
1,1,2010-10-01,26996.29750665628,False
1,1,2010-10-08,31669.611332769917,False
1,1,2010-10-15,31396.570986424926,False
1,1,2010-10-22,26045.52578635415,False
1,1,2010-10-29,29121.85737681764,False
1,1,2010-11-05,29049.76630427312,False
1,1,2010-11-12,26962.416541524213,False
1,1,2010-11-19,28603.527089800868,False
1,1,2010-11-26,21552.882196618735,False
1,1,2010-12-03,24572.793812931803,False
1,1,2010-12-10,26321.833195545983,False
1,1,2010-12-17,28719.927824018116,False
1,1,2010-12-24,23992.885364361446,False
1,1,2010-12-31,25486.926669167715,False
1,1,2011-01-07,24032.302009271712,False
1,1,2011-01-14,22124.852814723046,False
1,1,2011-01-21,23495.56734386237,False
1,1,2011-01-28,22129.329168095457,False
1,1,2011-02-04,20752.649759082684,False
1,1,2011-02-11,19684.585502980302,False
1,1,2011-02-18,23594.254153258982,False
1,1,2011-02-25,17167.782366973166,False
1,1,2011-03-04,17564.962878568793,False
1,1,2011-03-11,19557.603204127056,False
1,1,2011-03-18,18046.54594536699,False
1,1,2011-03-25,13312.701976547825,False
1,1,2011-04-01,18474.774328505704,False
1,1,2011-04-08,16411.855928605743,False
1,1,2011-04-15,16992.337970893226,False
1,1,2011-04-22,15480.729758006199,False
1,1,2011-04-29,15673.09962173967,False
1,1,2011-05-06,16593.968491439253,False
1,1,2011-05-13,13233.258332351445,False
1,1,2011-05-20,14769.371737792391,False
1,1,2011-05-27,13716.540615322912,False
1,1,2011-06-03,17027.28520480638,False
1,1,2011-06-10,15246.20557796771,False
1,1,2011-06-17,16536.00654702813,False
1,1,2011-06-24,16515.442631250196,False
1,1,2011-07-01,15407.358068416768,False
1,1,2011-07-08,15138.155324208687,False
1,1,2011-07-15,14184.859846194688,False
1,1,2011-07-22,19233.707441763097,False
1,1,2011-07-29,16563.011100733424,False
1,1,2011-08-05,13995.403798439173,False
1,1,2011-08-12,17073.072857367846,False
1,1,2011-08-19,17585.631390228587,False
1,1,2011-08-26,16063.27906914018,False
1,1,2011-09-02,20002.499150455104,False
1,1,2011-09-09,18196.362264706586,False
1,1,2011-09-16,21917.469532017065,False
1,1,2011-09-23,16499.465372255283,False
1,1,2011-09-30,21754.735148717053,False
1,1,2011-10-07,21076.519556222855,False
1,1,2011-10-14,20386.278044318697,False
1,1,2011-10-21,20581.74331422537,False
1,1,2011-10-28,23558.734458082396,False
1,1,2011-11-04,24259.856017491034,False
1,1,2011-11-11,25884.512428578768,False
1,1,2011-11-18,24156.157279948027,False
1,1,2011-11-25,23873.55422996725,False
1,1,2011-12-02,27082.299789523993,False
1,1,2011-12-09,27064.16547836736,False
1,1,2011-12-16,27157.159867564602,False
1,1,2011-12-23,27067.31180944627,False
1,1,2011-12-30,27503.47486914956,False
1,1,2012-01-06,30964.730376482843,False
1,1,2012-01-13,29749.668143868435,False
1,1,2012-01-20,31259.30380869924,False
1,1,2012-01-27,32055.48234952369,False
1,1,2012-02-03,35595.294135446675,False
1,1,2012-02-10,33013.10200308296,False
1,1,2012-02-17,32515.936836399018,False
1,1,2012-02-24,34877.097304815914,False
1,1,2012-03-02,34415.50448233846,False
1,1,2012-03-09,35066.199524699114,False
1,1,2012-03-16,37032.2710070499,False
1,1,2012-03-23,33760.87091898243,False
1,1,2012-03-30,37235.56739770955,False
1,1,2012-04-06,38136.58409653068,False
1,1,2012-04-13,40589.608314348756,False
1,1,2012-04-20,40506.25878570703,False
1,1,2012-04-27,35852.27180338797,False
1,1,2012-05-04,41310.042126177585,False
1,1,2012-05-11,39340.70994782476,False
1,1,2012-05-18,38202.72371548537,False
1,1,2012-05-25,38558.3286501616,False
1,1,2012-06-01,38609.035113885,False
1,1,2012-06-08,40077.6427522449,False
1,1,2012-06-15,41590.84833409345,False
1,1,2012-06-22,37896.82131596942,False
1,1,2012-06-29,37689.34945183203,False
1,1,2012-07-06,39355.392940006284,False
1,1,2012-07-13,37020.33071410107,False
1,1,2012-07-20,37501.85285089375,False
1,1,2012-07-27,35584.18037711529,False
1,1,2012-08-03,37967.39275348084,False
1,1,2012-08-10,37470.674937413874,False
1,1,2012-08-17,32783.58377447274,False
1,1,2012-08-24,36841.30949234652,False
1,1,2012-08-31,38178.04301982185,False
1,1,2012-09-07,30999.220634197714,False
1,1,2012-09-14,38136.827276169235,False
1,1,2012-09-21,33437.662886283775,False
1,1,2012-09-28,33890.0556067938,False
1,1,2012-10-05,31650.94722906067,False
1,1,2012-10-12,33476.065668512354,False
1,1,2012-10-19,30654.523313397895,False
1,1,2012-10-26,28398.492816757425,False
